StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,acceptability,acceptability_notOk,acceptability_ok,diff,switched_context,expl_rate_1,expl_rate_2,expl_rate_3,intervention,intervention_diff,check_group,check_job,check_task,age,age_2_TEXT,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_3,condition
2021-04-26 22:26:53,2021-04-26 22:51:48,IP Address,161.35.130.245,100,1495,True,2021-04-26 22:51:48,R_1dn8snRBan89jCt,,,,,40.836395263671875,-74.14029693603515625,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Equally similar and different,Likely different job,Not at all satisfying,Not at all satisfying,Not at all satisfying,"I would first reduce the huge paperwork requirements required for the Zarpies to work in better ranks. After this, I would create a room for them to have enough education to work in better positions. ",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,30,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Working class,"No, the task was fine.",My perception towards immigrants and their living situations.,structural
2021-04-26 22:52:21,2021-04-26 22:55:34,IP Address,68.59.117.67,100,193,True,2021-04-26 22:55:34,R_2ARc0QX3cPQPzwz,,,,,30.7781982421875,-83.55190277099609375,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very similar,Likely different job,Not at all satisfying,Not at all satisfying,Not at all satisfying,I would create a program to train Zarpies to learn to work in distribution if they choose.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,High school/GED,Working class,"No, I think it was fine.",About how people see group inequality and how they think changes should be made to deal with it.,cultural
2021-04-26 23:14:00,2021-04-26 23:18:32,IP Address,71.8.130.91,100,272,True,2021-04-26 23:18:32,R_29bryNfZT6Q7dq6,,,,,46.278594970703125,-96.092498779296875,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very different,Likely different job,Slightly satisfying,Slightly satisfying,Slightly satisfying,I would make a law for diversity.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,34,Female,,"White, Caucasian, or European American,Black or African American",,Some college,Working class,,,biological
2021-04-26 23:18:27,2021-04-26 23:20:41,IP Address,98.215.102.29,100,134,True,2021-04-26 23:20:42,R_22lgwCgmTTVu39G,,,,,40.7122039794921875,-89.62830352783203125,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Equally similar and different,Likely aquafruit farmer,Somewhat satisfying,Slightly satisfying,Not at all satisfying,I would pay them more,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Female,,"White, Caucasian, or European American",,Some college,Working class,none,"i dont know, thank you.",structural
2021-04-26 23:31:19,2021-04-26 23:35:05,IP Address,67.250.12.32,100,226,True,2021-04-26 23:35:05,R_vrDNpL5zPKUi001,,,,,40.7584075927734375,-73.79730224609375,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely different job,Not at all satisfying,Slightly satisfying,Extremely satisfying,I would reduce or eliminate the paperwork requirements for Zarpies to change jobs.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,44,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,No confusion.,I think it is about how we feel about people being able to cross class boundaries.,structural
2021-04-26 23:33:43,2021-04-26 23:37:36,IP Address,184.167.225.85,100,232,True,2021-04-26 23:37:36,R_3IQMsrLn7dYUNDU,,,,,45.997894287109375,-112.5988006591796875,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely different job,Very satisfying,Not at all satisfying,Not at all satisfying,"Offer higher pay and promise of low key work. ",Somewhat easy,"Zarpies,Vawns",Aquafruit farmer,Learning about Zarpies and answering questions about them,Please enter your age in years:,56,Female,,"White, Caucasian, or European American",,Some college,Working class,No,Not sure...,cultural
2021-04-26 23:35:46,2021-04-26 23:42:28,IP Address,72.175.20.140,100,402,True,2021-04-26 23:42:29,R_qF8BCwSAzMP5MwF,,,,,37.9546051025390625,-103.664398193359375,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Very different,For sure different job,Somewhat satisfying,Somewhat satisfying,Slightly satisfying,Zarpies and Vamps would exchange their job roles,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,35,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,nothing,inequality of work and wages,structural
2021-04-26 23:28:50,2021-04-26 23:47:20,IP Address,73.157.157.184,100,1110,True,2021-04-26 23:47:20,R_31gFBKRBPsJTZ2g,,,,,45.412506103515625,-122.72409820556640625,anonymous,EN,I do consent to participate,Okay,,Pretty good,Equally similar and different,Likely different job,Extremely satisfying,Extremely satisfying,Slightly satisfying,"since they have big hands, i will suggest, offloading",Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,36,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,none,about an hypothetic island,biological
2021-04-26 23:49:31,2021-04-26 23:55:03,IP Address,47.203.171.153,100,332,True,2021-04-26 23:55:04,R_3FXKTyuBq2BDGdd,,,,,27.8170928955078125,-82.626800537109375,anonymous,EN,I do consent to participate,Not okay,"Very, very bad",,Equally similar and different,Likely different job,Somewhat satisfying,Somewhat satisfying,Not at all satisfying,"I would switch roles. I would train Zarpies to be distribution managers and Vawns to be the aquafruit farmers. So that in the future it could be more evenly distributed as far as the work, jobs, and income distribution. ",Somewhat difficult,"Zarpies,Vawns",Aquafruit farmer,Learning about Zarpies and answering questions about them,Please enter your age in years:,46,Female,,"White, Caucasian, or European American",,Some college,Middle class,no problems,perception of inequality,biological
2021-04-26 23:56:25,2021-04-27 00:02:28,IP Address,97.123.77.225,100,362,True,2021-04-27 00:02:28,R_3R8DZ9Yp5nbqoMk,,,,,35.081298828125,-106.6212005615234375,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Very satisfying,Not at all satisfying,Slightly satisfying,"I would ask Zarpies what they would require in order to work as distribution managers. I would try to gather this data and see how the employment conditions could be altered and/or improved to try to accomodate the needs and desires of different workers, specifically to include Zarpies.",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,45,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Working class,Nothing that I can think of.,Something about inequality or separate classes and how people might explain the causes of that?,cultural
2021-04-27 00:30:32,2021-04-27 00:34:34,IP Address,174.234.10.59,100,241,True,2021-04-27 00:34:34,R_1RLoKYsxILleE5r,,,,,38.8074951171875,-94.91570281982421875,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Very satisfying,Somewhat satisfying,Somewhat satisfying,"I would first ask some of the Zarpies if they would like the opportunity to move to distribution managers, and if they say yes, then I would begin to train them on what they need to know in order to land that job. ",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,25,Female,,"White, Caucasian, or European American",,Some college,Middle class,,,structural
2021-04-27 00:30:58,2021-04-27 00:38:33,IP Address,92.38.148.73,100,455,True,2021-04-27 00:38:33,R_3FUMDZDEs03okab,,,,,37.393096923828125,-121.962005615234375,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely aquafruit farmer,Somewhat satisfying,Very satisfying,Slightly satisfying,I would try to persuade Zarpies to work as distribution manager by informing them of the advantages of that position such as working as a distribution manager is a low risk job relative to aquafruit farmers.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,36,Female,,East Asian,,"Master's (M.A., M.S.)",Middle class,No,I have no idea,biological
2021-04-27 00:07:47,2021-04-27 01:48:53,IP Address,72.192.184.206,100,6066,True,2021-04-27 01:48:54,R_zZvciLEqyxSy1jz,,,,,33.242095947265625,-117.30450439453125,anonymous,EN,I do consent to participate,Okay,,"Very, very good",Equally similar and different,For sure aquafruit farmer,Extremely satisfying,Extremely satisfying,Not at all satisfying,i will explain how low risky to work as distribution managers,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,34,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,none,how we think about the same creatures of different occupation,cultural
2021-04-27 02:57:02,2021-04-27 03:14:19,IP Address,207.244.71.79,100,1037,True,2021-04-27 03:14:20,R_6zksWFSutQ2QdVL,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,For sure different job,Extremely satisfying,Somewhat satisfying,Slightly satisfying,create education programs to teach them how to work as distribution managers,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,31,Female,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,no,how easy people learn new information,cultural
2021-04-27 03:18:32,2021-04-27 03:22:56,IP Address,72.240.219.192,100,263,True,2021-04-27 03:22:56,R_10OgNcBqA2n0nnO,,,,,41.376800537109375,-82.5363006591796875,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Equally similar and different,Likely different job,Slightly satisfying,Slightly satisfying,Not at all satisfying,Make the tests and paperwork less of an obstacle.,Somewhat easy,"Zarpies,Vawns",Aquafruit farmer,Learning about Zarpies and answering questions about them,Please enter your age in years:,35,Male,,"White, Caucasian, or European American",,Some college,Poor,,Racially-based hiring methods.,structural
2021-04-27 04:04:06,2021-04-27 04:09:28,IP Address,181.214.102.145,100,321,True,2021-04-27 04:09:28,R_2c7vpe6NypGW4dE,,,,,41.848297119140625,-87.651702880859375,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely different job,Somewhat satisfying,Somewhat satisfying,Somewhat satisfying,"I would get more Zarpies trained ",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,29,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Working class,,,biological
2021-04-27 04:25:39,2021-04-27 04:25:45,IP Address,68.200.0.97,100,5,True,2021-04-27 04:25:46,R_1OGOl1ZnlLF40HG,,,,,28.83489990234375,-82.32610321044921875,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27 04:21:50,2021-04-27 04:26:12,IP Address,107.5.172.183,100,261,True,2021-04-27 04:26:12,R_VLviRkbn8SQXxAd,,,,,42.913299560546875,-85.8144989013671875,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Somewhat different,Likely different job,Not at all satisfying,Not at all satisfying,Not at all satisfying,Train the Zarpies on the requirements of being distribution managers.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,70,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,structural
2021-04-27 04:22:51,2021-04-27 04:26:23,IP Address,68.14.30.35,100,212,True,2021-04-27 04:26:23,R_C1rYmMBJo0Ljqdb,,,,,41.960906982421875,-72.7957000732421875,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Very satisfying,Very satisfying,Slightly satisfying,I would offer them more pay than they make off the aquafruit farming.,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,41,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,No problems,No clue,biological
2021-04-27 04:22:18,2021-04-27 04:26:47,IP Address,73.119.248.194,100,269,True,2021-04-27 04:26:48,R_3Gxfcj0PUSbz725,,,,,43.0110015869140625,-71.45709991455078125,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Equally similar and different,Likely different job,Slightly satisfying,Not at all satisfying,Slightly satisfying,I would educate Zarpies about how they could be trailblazers for future generations if more of them became distribution managers. I would emphasize that they can remain true to their traditions while still opening up more opportunities to their children and their future people.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,38,Female,,"White, Caucasian, or European American",,Some college,Middle class,No,I'm not sure.,cultural
2021-04-27 04:25:43,2021-04-27 04:30:11,IP Address,68.198.160.172,100,268,True,2021-04-27 04:30:11,R_3ffrY89HO7DvEfY,,,,,40.8784942626953125,-72.95379638671875,anonymous,EN,I do consent to participate,Okay,,Pretty good,Equally similar and different,Likely different job,Very satisfying,Somewhat satisfying,Not at all satisfying,add incentives and make distribution managers role attractive,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Female,,"White, Caucasian, or European American,Black or African American",,"Bachelor's (B.A., B.S.)",Middle class,,,cultural
2021-04-27 04:28:05,2021-04-27 04:31:38,IP Address,69.84.110.147,100,213,True,2021-04-27 04:31:39,R_85G9Mklz2vMrcoF,,,,,25.9441986083984375,-80.14060211181640625,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely aquafruit farmer,Not at all satisfying,Slightly satisfying,Slightly satisfying,"I would convince them that it is a much safer job. ",Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,23,Female,,"White, Caucasian, or European American",,Some college,Middle class,No,I don't know.,biological
2021-04-27 04:37:29,2021-04-27 04:41:22,IP Address,172.73.201.221,100,233,True,2021-04-27 04:41:22,R_26mCuREc7LDrDqp,,,,,35.3083953857421875,-81.02559661865234375,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,Likely different job,Slightly satisfying,Slightly satisfying,Not at all satisfying,"I would offer them free training to become managers. ",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,33,Female,,"White, Caucasian, or European American",,Some college,Working class,no,how we view people of different working classes,structural
2021-04-27 05:12:34,2021-04-27 05:17:10,IP Address,184.61.239.25,100,275,True,2021-04-27 05:17:10,R_pMnfuNd6lL05gsN,,,,,42.8235015869140625,-84.233001708984375,anonymous,EN,I do consent to participate,Okay,,A little good,Very different,Likely aquafruit farmer,Very satisfying,Slightly satisfying,Not at all satisfying,"make accomodations that would make them feel more comfortable being a distribution manager. ",Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,38,Female,,"White, Caucasian, or European American",,Some college,Working class,no issues,not sure,biological
2021-04-27 10:26:45,2021-04-27 10:31:40,IP Address,73.77.190.239,100,294,True,2021-04-27 10:31:41,R_31GaTkkfHPfXo2x,,,,,29.7375946044921875,-95.52100372314453125,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Equally similar and different,Likely different job,Not at all satisfying,Not at all satisfying,Slightly satisfying,Eliminate the complex and expensive paperwork that the Zarpies are forced to complete before becoming a distribution manager.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,50,Male,,"White, Caucasian, or European American,Hispanic or Latino/a",,"Bachelor's (B.A., B.S.)",Middle class,no problems or confusion,Social Justice something or other.,structural
2021-04-27 11:55:26,2021-04-27 12:01:51,IP Address,35.137.59.85,100,385,True,2021-04-27 12:01:52,R_RXrT1uJGtuwER5D,,,,,27.9600067138671875,-82.46140289306640625,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat similar,Likely aquafruit farmer,Extremely satisfying,Extremely satisfying,Not at all satisfying,Pay them more as managers than farmers,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,61,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,,To study how to have groups that work at certain low level jobs find better jobs more attractive.,cultural
2021-04-28 03:16:51,2021-04-28 03:24:47,IP Address,97.80.69.211,100,476,True,2021-04-28 03:24:47,R_3Etiy4d6hLHmVV4,,,,,30.613494873046875,-90.18599700927734375,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat similar,Likely different job,Very satisfying,Somewhat satisfying,Slightly satisfying,"I would get scientists to start working on special lenses that the Zarpies can use so they can see just as well out of the water. This would get more Zarpies to work as distribution managers, rather than aquafruit farmers.",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,47,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,The survey was straight forward. I didn't notice anything confusing or unclear.,inequality,biological
2021-04-28 04:49:27,2021-04-28 04:53:38,IP Address,68.23.76.245,100,250,True,2021-04-28 04:53:38,R_Xn5gF0ZtDyBSuOZ,,,,,25.606201171875,-80.3451995849609375,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Somewhat satisfying,Somewhat satisfying,Somewhat satisfying,Hire more zarpies to be managers even though they are not qualified,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,40,Male,,Hispanic or Latino/a,,Some college,Working class,n,idk,biological
2021-04-28 04:52:00,2021-04-28 04:55:15,IP Address,73.136.128.236,100,195,True,2021-04-28 04:55:16,R_yt05AzrShnDTdBL,,,,,29.7678985595703125,-94.9723968505859375,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely aquafruit farmer,Extremely satisfying,Very satisfying,Somewhat satisfying,I wouldn't change anything,Very easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,36,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,no,unsure,cultural
2021-04-28 05:15:17,2021-04-28 05:18:18,IP Address,199.168.76.175,100,180,True,2021-04-28 05:18:18,R_Xz7SLSE5ADzov3H,,,,,39.9564056396484375,-85.9651031494140625,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Not at all satisfying,Not at all satisfying,Slightly satisfying,Change the pay rate of jobs.,Somewhat difficult,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,High school/GED,Working class,None,Racial and social groups,biological
2021-04-28 05:21:13,2021-04-28 05:26:51,IP Address,174.198.11.118,100,338,True,2021-04-28 05:26:51,R_Zxa1B0RFa2BmzDj,,,,,40.2165985107421875,-75.256500244140625,anonymous,EN,I do consent to participate,Not okay,Pretty bad,,Very different,For sure different job,Not at all satisfying,Somewhat satisfying,Not at all satisfying,Make the application process for getting other jobs a lot easier.,Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,30,Male,,"White, Caucasian, or European American",,Some college,Middle class,No,People's thoughts on immigrant jobs,structural
2021-04-28 05:51:36,2021-04-28 06:02:23,IP Address,24.151.126.210,100,647,True,2021-04-28 06:02:24,R_2WBTkfxVfK9UQg5,,,,,41.9279022216796875,-73.06939697265625,anonymous,EN,I do consent to participate,Okay,,A little good,Somewhat different,Likely different job,Slightly satisfying,Not at all satisfying,Slightly satisfying,"I would provide training and an outreach program to the Zarpies, to help them learn more about the job. I'd also institute a paid internship program for an Zarpie interested in learning more about being a distribution manager. Even though Zarpies on the whole are attached to the sea, Zarpies are individuals and there must be some who are more inclined to want to work in this very different field. (Note, I'd also like to see about making the farming profession more lucrative as well. It's unfair that those who choose to be aquafruit farmers are paid less to do what sounds like a dangerous job. This would also help ensure that those who choose to go into distribution are doing so because they feel it's right for them, and not for the money.)",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,49,Female,,"White, Caucasian, or European American",,High school/GED,Working class,"The only suggestion I could make is to clarify a bit what you mean by ""satisfying"" in the question about the government's reasoning as to why so many Zarpies farm. Did you mean an answer that we felt was honest or one that make us happy to hear (i.e the truth or an answer that made us feel better about a majority of Zarpies being farmers)? It's hard to gauge what you meant by ""satisfying""","I imagine this had something to do with diversity in the workplace, actually, but I don't know the specifics of what you were trying to explore.",cultural
2021-04-28 08:07:07,2021-04-28 08:11:36,IP Address,98.235.69.98,100,269,True,2021-04-28 08:11:36,R_2WB6NXcRgjDCXXS,,,,,41.2722930908203125,-75.888702392578125,anonymous,EN,I do consent to participate,Okay,,Pretty good,Somewhat different,Likely different job,Extremely satisfying,Extremely satisfying,Not at all satisfying,"they can be trained to be vawns, make training and the job fun",Somewhat easy,"Zarpies,Vawns","Aquafruit farmer,Distribution manager",Learning about Zarpies and answering questions about them,Please enter your age in years:,27,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,it was different,biological
