StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,check_job,acceptability,acceptability_a,acceptability_b,diff,switched_context,switched_context_a,switched_context_b,intervention,intervention_coded,intervention_diff,intervention_diff_a,intervention_diff_b,check_group,check_job,check_task,age,age_2_TEXT,gender,gender_4_TEXT,race,race_15_TEXT,education,ses,debrief_1,debrief_3,condition
8/29/2021 22:03,8/29/2021 22:19,IP Address,23.119.175.212,100,959,TRUE,8/29/2021 22:19,R_29hMcF36uIcNcz2,,,,,29.69180298,-95.65260315,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat different,cake decorator,probably cake decorator,,I would create do a class on the basics of decorating cakes. I would teach them the about the tools that are used and some examples of common decorations and finally I would let everyone in the class decorate a cake for the first time.,provide job training/tools to group,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,34,Male,,Hispanic or Latino/a,,High school/GED,Working class,No,What people think about a group that is not treated fairly.,biological
8/29/2021 22:15,8/29/2021 22:19,IP Address,72.209.18.237,100,245,TRUE,8/29/2021 22:19,R_26kFqgHv4qKE2YX,,,,,41.77600098,-72.52829742,anonymous,EN,I do consent to participate,Reds,Okay,,"Very, very good",Somewhat different,cake decorator,probably cake decorator,,Tell the city officials that the blues sould be allowed to decorate cakes,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,45,Female,,Black or African American,,Some college,Middle class,,,structural
8/29/2021 22:15,8/29/2021 22:20,IP Address,98.26.231.65,100,255,TRUE,8/29/2021 22:20,R_w7NDJL0Hd4RNf8Z,,,,,35.86839294,-80.31500244,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat different,cleaner,,probably cleaner,I would make the cakes larger so they require more strength to make them.,"change job wages, value, hours, work",Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,30,Male,,"White, Caucasian, or European American",,High school/GED,Working class,everything was fine,to see how people would come up with ideas to help blues get a better job.,biological
8/29/2021 22:15,8/29/2021 22:20,IP Address,47.201.197.123,100,308,TRUE,8/29/2021 22:20,R_2VqGQSFSKudtQp4,,,,,28.03030396,-82.78160095,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very similar,cake decorator,probably cake decorator,,half the reds do sweeping and blues do cake decorating,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,29,Male,,"White, Caucasian, or European American,Hispanic or Latino/a",,"Master's (M.A., M.S.)",Middle class,,,structural
8/29/2021 22:14,8/29/2021 22:20,IP Address,67.183.47.86,100,344,TRUE,8/29/2021 22:20,R_3HvRrUjbz7ZmkGX,,,,,47.53640747,-122.2779999,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Equally similar and different,cleaner,,maybe cleaner,I would try to find out what skills the blues could acquire that would help them be able to decorate cakes instead and then make it allowable for blues to decorate cakes as long as they had the same/appropriate skills as were required.,provide job training/tools to group,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,38,Female,,"White, Caucasian, or European American",,"Master's (M.A., M.S.)",Middle class,"no problems, no suggestions",i am not sure,biological
8/29/2021 22:17,8/29/2021 22:20,IP Address,71.236.91.4,100,192,TRUE,8/29/2021 22:20,R_3GEctZW3KftsEsq,,,,,40.15879822,-79.81220245,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat similar,cake decorator,probably cake decorator,,change the rules/laws,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,23,Female,,"White, Caucasian, or European American",,High school/GED,Middle class,,,biological
8/29/2021 22:12,8/29/2021 22:20,IP Address,71.228.100.247,100,526,TRUE,8/29/2021 22:20,R_pE5rwp5tMNEnoop,,,,,35.50650024,-108.7414017,anonymous,EN,I do consent to participate,Reds,Okay,,Pretty good,Somewhat different,cleaner,,definitely cleaner,I put new colors and new attractive design,other,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,28,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Working class,No,,cultural
8/29/2021 22:20,8/29/2021 22:20,IP Address,107.131.145.149,100,9,TRUE,8/29/2021 22:20,R_3st7j5juotW8Uju,,,,,41.46150208,-88.2786026,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2021 22:14,8/29/2021 22:21,IP Address,184.177.84.245,100,370,TRUE,8/29/2021 22:21,R_XFEeFt4MMUaNz3j,,,,,37.39329529,-94.71620178,anonymous,EN,I do consent to participate,Reds,Okay,,Pretty good,Equally similar and different,cleaner,,probably cleaner,I would give them a class on how to decorate cakes,provide job training/tools to group,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,60,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Poor,No,An evaluation of attitudes toward class distinctions.,cultural
8/29/2021 22:15,8/29/2021 22:21,IP Address,99.35.42.200,100,350,TRUE,8/29/2021 22:21,R_WvAnq81faq5nonD,,,,,33.8513031,-84.28700256,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Equally similar and different,cleaner,,definitely cleaner,Allow them to go to schools that teach how to decorate cakes.,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,41,Male,,Black or African American,,"Bachelor's (B.A., B.S.)",Middle class,"The part where I had to select how hard or easy it would be to enact the action. I thought it would be easy, yet that 2nd part required me to describe how hard it would be. I thought that should be an ""either/or"" selection and THEN the degree of difficulty to enact said action. ",Discrimination/Affirmative Action and/or access to advancement for different groups.,structural
8/29/2021 22:15,8/29/2021 22:21,IP Address,63.230.46.66,100,371,TRUE,8/29/2021 22:21,R_21H9y2Sjzs18Dnm,,,,,41.29400635,-96.05410004,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Very similar,cleaner,,probably cleaner,Allow the Blues to try decorating some of the cakes.,create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,28,Male,,"White, Caucasian, or European American",,High school/GED,Working class,,,cultural
8/29/2021 22:19,8/29/2021 22:23,IP Address,73.50.3.236,100,247,TRUE,8/29/2021 22:23,R_2tEEuFaXpoKMMFL,,,,,41.7796936,-87.87200165,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat different,cleaner,,probably cleaner,Allow blues to enroll in classes that teach them how to decorate cakes should they desire to go. ,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,26,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,Nothing,Perceptions of reds and blues and how it relates to class structure ,structural
8/29/2021 22:18,8/29/2021 22:26,IP Address,47.155.143.129,100,483,TRUE,8/29/2021 22:26,R_21hRgdwBGowuXaW,,,,,34.53019714,-117.213501,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Very different,cleaner,,maybe cleaner,make Blues taste the cakes so they will be motivated to decorate cakes.,change group beliefs/values,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Prefer not to specify,,Prefer not to specify,,Prefer not to specify,,Prefer not to specify,Prefer not to specify,,,cultural
8/29/2021 22:23,8/29/2021 22:27,IP Address,67.164.96.205,100,216,TRUE,8/29/2021 22:27,R_27jl0UGgyXKSBHz,,,,,37.37730408,-122.0194016,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Equally similar and different,cleaner,,maybe cleaner,I would change the law to allow blues to attend cake decorating school so they could learn the trade.  This would also make it clear that it's socially acceptable for blues to decorate cakes.,create more jobs or access to jobs,Easy,A little easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,34,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,,,structural
8/29/2021 22:23,8/29/2021 22:27,IP Address,67.255.243.99,100,218,TRUE,8/29/2021 22:27,R_2awxVcImHPI4O9w,,,,,42.96299744,-72.29290009,anonymous,EN,I do consent to participate,Reds,Okay,,Pretty good,Somewhat similar,cleaner,,probably cleaner,I would take their broom from them and beat them with it,other,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,35,Female,,"White, Caucasian, or European American",,High school/GED,Working class,none,perceptions of two different groups,cultural
8/29/2021 22:22,8/29/2021 22:27,IP Address,69.127.176.174,100,330,TRUE,8/29/2021 22:27,R_1DqBdPIg78Xmbcp,,,,,40.82200623,-73.86000061,anonymous,EN,I do consent to participate,Reds,Not okay,A little bad,,Equally similar and different,cake decorator,maybe cake decorator,,Allow equal opportunity to blues to get the job they desire and can do. ,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,33,Male,,Hispanic or Latino/a,,"Bachelor's (B.A., B.S.)",Working class,,,biological
8/29/2021 22:21,8/29/2021 22:29,IP Address,71.214.22.70,100,464,TRUE,8/29/2021 22:29,R_3kzvEdaxYeqvwr7,,,,,29.01069641,-82.03549957,anonymous,EN,I do consent to participate,Reds,Okay,,"Very, very good",Somewhat different,cleaner,,probably cleaner,I would directly offer blues a position decorating cakes with the reds. ,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,43,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Poor,no problems. ,I'm guessing it was about race and careers. It assumes everyone is artistic enough to be a decorator. I've done both jobs and the cake decorator isn't necessarily better.,cultural
8/29/2021 22:25,8/29/2021 22:29,IP Address,24.168.202.105,100,250,TRUE,8/29/2021 22:29,R_2uJwd00A83vGM71,,,,,34.07369995,-81.18630219,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Very different,cake decorator,definitely cake decorator,,I would give each worker the choice of which job they would like to have. ,create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,31,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,biological
8/29/2021 22:26,8/29/2021 22:29,IP Address,184.19.47.11,100,190,TRUE,8/29/2021 22:29,R_3lVx3ziuY55c6Om,,,,,39.5177002,-87.12380219,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat different,cleaner,,definitely cleaner,I would show the Red's the joy of cleaning and switch roles,other,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,24,Female,,"White, Caucasian, or European American",,Some college,Middle class,,,cultural
8/29/2021 22:25,8/29/2021 22:30,IP Address,172.119.145.73,100,309,TRUE,8/29/2021 22:30,R_PS4dwL4PyR9tkpb,,,,,34.30769348,-118.4286957,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Equally similar and different,cake decorator,maybe cake decorator,,Allow Blues to go to cake decorating school,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,31,Female,,Hispanic or Latino/a,,"Bachelor's (B.A., B.S.)",Poor,No.,I'm not sure.,structural
8/29/2021 22:26,8/29/2021 22:31,IP Address,94.140.9.145,100,299,TRUE,8/29/2021 22:31,R_1l4wfDyVCwKQZVJ,,,,,41.87640381,-87.61329651,anonymous,EN,I do consent to participate,Reds,Okay,,"Very, very good",Very similar,cleaner,,maybe cleaner,make cleaning 15 coins,"change job wages, value, hours, work",Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,26,Male,,"White, Caucasian, or European American",,Some college,Poor,no,its about opportunity for African Americans,structural
8/29/2021 22:21,8/29/2021 22:31,IP Address,71.139.109.25,100,631,TRUE,8/29/2021 22:31,R_2dsy9hhU6zSXULY,,,,,34.68479919,-92.28130341,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very different,cake decorator,probably cake decorator,,Make the Blues just as equal as the Red and stop all the racism between them.,other,Easy,Pretty easy,Pretty hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Prefer not to specify,,Female,,Black or African American,,Some college,Prefer not to specify,No,Racial equity,structural
8/29/2021 22:28,8/29/2021 22:32,IP Address,24.116.141.253,100,287,TRUE,8/29/2021 22:32,R_2yqoDTgfYJMRCd7,,,,,43.61380005,-116.3972015,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat similar,cleaner,,maybe cleaner,"Have classes at the bakery for the blue employees on how to decorate cakes, and let them give it a whirl one of their shifts.",provide job training/tools to group,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,35,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Working class,No problems or confusion,Studying different socio-economic status based on immutable characteristics?,biological
8/29/2021 22:30,8/29/2021 22:34,IP Address,174.250.28.3,100,224,TRUE,8/29/2021 22:34,R_1FLBpLyKiIjVHMo,,,,,37.75100708,-97.8219986,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat different,cake decorator,probably cake decorator,,Politely ask if Blue can decorate cakes,change group beliefs/values,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,24,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,cultural
8/29/2021 22:28,8/29/2021 22:35,IP Address,141.149.57.200,100,386,TRUE,8/29/2021 22:35,R_Or5vyWyd8wBGsHn,,,,,40.60020447,-74.14689636,anonymous,EN,I do consent to participate,Blues,Okay,,Pretty good,Somewhat different,cake decorator,probably cake decorator,,drink some coffee,other,Easy,Pretty easy,A little hard,"Reds,Blues",Cake decorater,Learning about Reds and Blues and answering questions about them,Please enter your age in years:,28,Female,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,biological
8/29/2021 22:33,8/29/2021 22:37,IP Address,70.162.28.177,100,193,TRUE,8/29/2021 22:37,R_27wmCtCmY0L80nL,,,,,32.25030518,-110.9449997,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat different,cleaner,,probably cleaner,"train the blues to decorate cakes, so they can begin contributing.",provide job training/tools to group,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,38,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,No,I'm not sure,biological
8/29/2021 22:39,8/29/2021 22:44,IP Address,73.29.92.105,100,280,TRUE,8/29/2021 22:44,R_2uK8aWQ5ns2X8WA,,,,,40.61050415,-74.28130341,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat similar,cleaner,,maybe cleaner,I would give Blues jobs as cake decorators,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,37,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Middle class,,I believe the story is about social class,cultural
8/29/2021 22:45,8/29/2021 22:51,IP Address,67.162.161.167,100,415,TRUE,8/29/2021 22:51,R_BPUvIa3OlHFalVL,,,,,28.77389526,-81.64630127,anonymous,EN,I do consent to participate,Reds,Okay,,Pretty good,Somewhat different,cake decorator,probably cake decorator,,I'm not sure,don't know,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,30,Female,,Black or African American,,Some college,Working class,,,cultural
8/29/2021 22:44,8/29/2021 22:53,IP Address,50.39.191.60,100,530,TRUE,8/29/2021 22:53,R_1CfGAdprP3Origp,,,,,45.45010376,-122.8679962,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Equally similar and different,cake decorator,probably cake decorator,,I would vote for the blues to be allowed to attend cake decorating school,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,31,Male,,Hispanic or Latino/a,,Some college,Working class,"Not at all, very straight forward",Obstacles that get in the way of education and opportunities that can be lost without it. ,structural
8/29/2021 22:11,8/29/2021 23:03,IP Address,72.253.216.233,100,3147,TRUE,8/29/2021 23:03,R_3QWpARIig5weRYk,,,,,21.39079285,-157.933197,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat different,cleaner,,probably cleaner,i would require the reds to teach the blues how to cook in an apprenticeship program if any blues wanted to join.,provide job training/tools to group,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,39,Male,,East Asian,,"Bachelor's (B.A., B.S.)",Poor,,,biological
8/29/2021 23:23,8/29/2021 23:29,IP Address,76.16.233.95,100,377,TRUE,8/29/2021 23:29,R_3GvV4Ku1I67OezU,,,,,41.70329285,-87.82980347,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Equally similar and different,cleaner,,probably cleaner,Blues would be allowed to go to the school that teaches them how to decorate cakes.,create more jobs or access to jobs,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,32,Male,,"White, Caucasian, or European American",,Some college,Poor,,,structural
8/29/2021 23:17,8/29/2021 23:34,IP Address,68.201.2.226,100,1049,TRUE,8/29/2021 23:34,R_WunxMaq4QPYThqV,,,,,33.85569763,-98.57929993,anonymous,EN,I do consent to participate,Reds,Okay,,"Very, very good",Equally similar and different,cake decorator,probably cake decorator,,i will explain about the coins,change group beliefs/values,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,39,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,biological
8/29/2021 23:28,8/29/2021 23:36,IP Address,196.17.67.25,100,527,TRUE,8/29/2021 23:36,R_3RdzjjpilJrJFo4,,,,,34.05439758,-118.2440033,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Equally similar and different,cake decorator,probably cake decorator,,I will provide opportunity for blues to decorate the cake and see if they are good at it.,create more jobs or access to jobs,Easy,A little easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,40,Male,,"Native American, American Indian, or Alaska Native",,"Bachelor's (B.A., B.S.)",Middle class,no,not sure.,cultural
8/29/2021 23:36,8/29/2021 23:39,IP Address,23.117.240.246,100,193,TRUE,8/29/2021 23:39,R_2ePvhE8H7BKqiOH,,,,,29.64599609,-95.8022995,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Somewhat similar,cake decorator,maybe cake decorator,,Give the ones talented enough a job as a baker.,create more jobs or access to jobs,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,29,Male,,"White, Caucasian, or European American,Hispanic or Latino/a",,"Bachelor's (B.A., B.S.)",Working class,,,biological
8/29/2021 23:39,8/29/2021 23:47,IP Address,64.201.89.11,100,471,TRUE,8/29/2021 23:47,R_pRfLNSgtPuR6Glj,,,,,40.04179382,-79.4151001,anonymous,EN,I do consent to participate,Reds,Okay,,A little good,Somewhat different,cleaner,,maybe cleaner,find out why they can't go to school to decorate cakes,create more jobs or access to jobs,Hard,,,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,39,Male,,"White, Caucasian, or European American",,Some college,Working class,,,structural
8/30/2021 0:57,8/30/2021 1:01,IP Address,75.128.34.142,100,216,TRUE,8/30/2021 1:01,R_3oMhLF854IYIy7x,,,,,33.86810303,-118.1831055,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Somewhat different,cake decorator,definitely cake decorator,,what i would want to do to have more blues decorate cakes is give them better equipment,provide job training/tools to group,Easy,A little easy,Pretty hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,18,Male,,Hispanic or Latino/a,,High school/GED,Working class,,,structural
8/30/2021 4:25,8/30/2021 4:29,IP Address,68.204.203.77,100,211,TRUE,8/30/2021 4:29,R_2rT7ydhp1bqPu8R,,,,,28.52740479,-81.60119629,anonymous,EN,I do consent to participate,Reds,Okay,,Pretty good,Somewhat different,cleaner,,probably cleaner,have them go back to school and learn how to decorate cakes,provide job training/tools to group,Easy,Pretty easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,42,Male,,"Some other racial/ethnic identity, please specify:",carribean ,Some college,Middle class,no,decisions,biological
8/30/2021 4:29,8/30/2021 4:33,IP Address,68.251.38.141,100,235,TRUE,8/30/2021 4:33,R_PtSeNMLGipBV7Lb,,,,,27.69909668,-80.44429779,anonymous,EN,I do consent to participate,Reds,Not okay,Pretty bad,,Very different,cleaner,,definitely cleaner,Fire all the reds!,create more jobs or access to jobs,Easy,A little easy,Pretty hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,37,Male,,"White, Caucasian, or European American",,High school/GED,Working class,,,cultural
8/30/2021 4:48,8/30/2021 4:52,IP Address,76.190.76.254,100,259,TRUE,8/30/2021 4:52,R_1mymNP9TVIuwZ0z,,,,,41.41360474,-81.90309906,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Very similar,cake decorator,probably cake decorator,,boycott,other,Easy,Very easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,29,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,,,biological
8/30/2021 4:50,8/30/2021 4:54,IP Address,70.189.159.156,100,224,TRUE,8/30/2021 4:54,R_2XoMqlzaNhhHLCk,,,,,36.24679565,-115.2182007,anonymous,EN,I do consent to participate,Reds,Not okay,"Very, very bad",,Equally similar and different,cake decorator,probably cake decorator,,Get rid of the rule that doesn't allow blue to learn how to decorate,create more jobs or access to jobs,Easy,A little easy,A little hard,"Reds,Blues","Cake decorater,Cleaner",Learning about Reds and Blues and answering questions about them,Please enter your age in years:,36,Male,,"White, Caucasian, or European American",,"Bachelor's (B.A., B.S.)",Middle class,no,To study how people feel about equality,structural
